Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v4/file/bzIyMDgwOC00Vi00MjVna2pvWjczcE5CV2ZY,1,0,35.57712100007393,35.57712100007393,35.57712100007393,35.57712100007393,1369.0,0.0011649719246602911,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/v4/file/bzIyMDgwOC00X2ZtTTJ2Yi1Ndk9RY3E2UXFO,1,1,36.00119099996846,36.00119099996846,36.00119099996846,36.00119099996846,566.0,0.0011649719246602911,0.0011649719246602911,36,36,36,36,36,36,36,36,36,36,36
GET,/v4/file/bzIyMDgwOC00c1l3anExbE9uZWVsR1RNVC0,1,0,68.90183500001967,68.90183500001967,68.90183500001967,68.90183500001967,1457.0,0.0011649719246602911,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/v4/file/bzIyMDgwOC01LWZ3YUlBNkdRY094Wk11UEh3N2M,1,0,15.739197000016247,15.739197000016247,15.739197000016247,15.739197000016247,1397.0,0.0011649719246602911,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/v4/file/bzIyMDgwOC01QjJOR1NPcU84UWt0S3diblk,1,0,249.06271600002583,249.06271600002583,249.06271600002583,249.06271600002583,1391.0,0.0011649719246602911,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/v4/file/bzIyMDgwOC01Qk5kZlhyeXRqNXdhUWpLVFMy,1,0,409.83829300000707,409.83829300000707,409.83829300000707,409.83829300000707,1417.0,0.0011649719246602911,0.0,410,410,410,410,410,410,410,410,410,410,410
GET,/v4/file/bzIyMDgwOC02TFpHUWZyR3hwa2VMc19ieE9j,1,0,19.43642899993847,19.43642899993847,19.43642899993847,19.43642899993847,1419.0,0.0011649719246602911,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/v4/file/bzIyMDgwOC03N1BCMVJiWlJhYkx0eU5WV0ZB,1,1,239.2199390000087,239.2199390000087,239.2199390000087,239.2199390000087,566.0,0.0011649719246602911,0.0011649719246602911,240,240,240,240,240,240,240,240,240,240,240
GET,/v4/file/bzIyMDgwOC03N3M0UGY5ZTNUMGZJZkZpSHgy,1,0,285.2240999999367,285.2240999999367,285.2240999999367,285.2240999999367,3310.0,0.0011649719246602911,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/v4/file/bzIyMDgwOC03SlJwcktyZmU1UG1TalNKLUY,1,0,23.24436600002855,23.24436600002855,23.24436600002855,23.24436600002855,1367.0,0.0011649719246602911,0.0,23,23,23,23,23,23,23,23,23,23,23
